Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0x68ff,0,0
IPv6,178,UDP,fe80::a7b:12ff:fec1:d237,fe80::95ca:d278:281a:9d45,53,52683,DNS,0,0x1cbd,0,0
IPv6,137,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0xed55,0,0
IPv6,93,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x57b5,0,0
IPv4,74,UDP,34.160.152.31,192.168.1.6,443,57578,UDP,0,0x9139,0,0
IPv4,66,TCP,192.168.1.6,85.91.47.67,61263,443,TCP,0x0002,0xe319,65535,0
IPv6,182,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0xe2bd,0,0
IPv6,88,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62261,UDP,0,0x0d7d,0,0
IPv4,75,UDP,192.168.1.6,34.160.152.31,57578,443,UDP,0,0xa81f,0,0
IPv6,102,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0xde40,0,0
IPv6,102,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0x3838,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0x6136,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0x326f,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0xaa18,0,0
IPv6,1292,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0x2c22,0,0
IPv6,367,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0x78c0,0,0
IPv6,94,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x78d6,0,0
IPv6,140,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0x7af6,0,0
IPv6,987,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0xbdf6,0,0
IPv6,114,UDP,2a00:1450:400b:c01::5e,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62638,QUIC,0,0xe2c5,0,0
IPv4,62,TCP,185.80.36.156,192.168.1.6,443,61262,TCP,0x0012,0x58fa,29200,0
IPv6,364,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x6013,0,0
IPv4,54,TCP,192.168.1.6,185.80.36.156,61262,443,TCP,0x0010,0xf5d9,65280,0
IPv6,894,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0x46d2,0,0
IPv6,83,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0xc9c1,0,0
IPv4,155,UDP,34.160.152.31,192.168.1.6,443,57578,UDP,0,0x070d,0,0
IPv6,211,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x3ced,0,0
